Goalkeeping_Squad,Goalkeeping_No_Pl,Goalkeeping_Playing_Time_MP,Goalkeeping_Playing_Time_Min,Goalkeeping_Performance_GA,Goalkeeping_Performance_GA90,Goalkeeping_Performance_SoTA,Goalkeeping_Performance_Saves,Goalkeeping_Performance_Save_Pct,Goalkeeping_Performance_W,Goalkeeping_Performance_D,Goalkeeping_Performance_L,Goalkeeping_Performance_CS,Goalkeeping_Performance_CS_Pct,Goalkeeping_Penalty_Kicks_PKatt,Goalkeeping_Penalty_Kicks_PKA,Goalkeeping_Penalty_Kicks_PKsv,Goalkeeping_Penalty_Kicks_PKm,Goalkeeping_Penalty_Kicks_Save_Pct,Goalkeeping_Team_ID,Advanced_Goalkeeping_Goals_FK,Advanced_Goalkeeping_Goals_CK,Advanced_Goalkeeping_Goals_OG,Advanced_Goalkeeping_Expected_PSxG,Advanced_Goalkeeping_Expected_PSxG_perSoT,Advanced_Goalkeeping_Expected_PSxG_Plus_per,Advanced_Goalkeeping_Expected_per90,Advanced_Goalkeeping_Launched_Cmp,Advanced_Goalkeeping_Launched_Att,Advanced_Goalkeeping_Launched_Cmp_Pct,Advanced_Goalkeeping_Passes_Att,Advanced_Goalkeeping_Passes_Thr,Advanced_Goalkeeping_Passes_Launch_Pct,Advanced_Goalkeeping_Passes_AvgLen,Advanced_Goalkeeping_Goal_Kicks_Att,Advanced_Goalkeeping_Goal_Kicks_Launch_Pct,Advanced_Goalkeeping_Goal_Kicks_AvgLen,Advanced_Goalkeeping_Crosses_Opp,Advanced_Goalkeeping_Crosses_Stp,Advanced_Goalkeeping_Crosses_Stp_Pct,Advanced_Goalkeeping_Sweeper_No_OPA,Advanced_Goalkeeping_Sweeper_No_OPA_per90,Advanced_Goalkeeping_Sweeper_AvgDist,League
vs Paris S-G,2,38,3420,89,2.34,249,161,66.3,7,4,27,4,10.5,7,5,2,0,28.6,e2d8892c,2,6,3,85.1,0.32,-0.9,-0.02,133,345,38.6,837,160,31.7,32.7,220,36.4,34.5,317,19,6.0,20,0.53,11.4,Ligue 1
vs Reims,2,38,3420,45,1.18,173,127,78.0,11,15,12,12,31.6,8,7,1,0,12.5,7fdd64e0,0,5,0,54.0,0.28,9.0,0.24,230,617,37.3,1090,168,38.9,34.6,311,62.1,44.5,528,39,7.4,58,1.53,14.1,Ligue 1
vs Rennes,2,38,3420,69,1.82,192,126,65.6,12,5,21,5,13.2,3,3,0,0,0.0,b3072e00,1,6,3,59.4,0.3,-6.6,-0.17,161,510,31.6,928,130,38.6,34.6,254,59.8,44.2,431,21,4.9,21,0.55,12.4,Ligue 1
vs Strasbourg,1,38,3418,51,1.34,157,107,70.7,16,13,9,6,15.8,7,5,2,0,28.6,c0d3eab4,1,8,3,51.1,0.29,3.1,0.08,176,493,35.7,1083,174,33.1,33.4,246,54.5,42.3,525,48,9.1,39,1.03,13.8,Ligue 1
vs Toulouse,1,38,3420,51,1.34,175,125,73.1,16,9,13,11,28.9,4,4,0,0,0.0,3f8c4b5f,1,7,1,48.8,0.27,-1.2,-0.03,155,480,32.3,929,163,35.1,34.0,272,56.6,42.9,534,44,8.2,24,0.63,11.3,Ligue 1
vs Troyes,2,38,3420,45,1.18,135,92,70.4,22,12,4,11,28.9,5,5,0,0,0.0,54195385,1,3,2,36.5,0.24,-6.5,-0.17,139,340,40.9,916,141,28.4,30.6,195,41.0,36.4,423,30,7.1,47,1.24,15.7,Ligue 1
vs Augsburg,2,34,3060,42,1.24,105,64,63.8,18,7,9,7,20.6,5,4,0,1,0.0,0cdc4311,0,6,1,34.0,0.29,-7.0,-0.21,260,636,40.9,1292,179,41.4,35.9,201,50.2,41.6,427,37,8.7,59,1.74,17.2,Bundesliga
vs Bayern Munich,3,34,3060,92,2.71,256,164,65.2,5,8,21,1,2.9,5,3,2,0,40.0,054efa67,1,7,2,80.3,0.3,-9.7,-0.29,273,587,46.5,1045,137,40.5,36.5,291,56.4,45.5,500,23,4.6,36,1.06,14.7,Bundesliga
vs Bochum,1,34,3060,40,1.18,130,93,71.5,19,5,10,12,35.3,3,3,0,0,0.0,b42c6323,0,8,3,39.2,0.28,2.2,0.07,211,598,35.3,1167,197,39.5,35.7,250,54.8,44.6,448,40,8.9,37,1.09,13.8,Bundesliga
vs Dortmund,2,34,3059,83,2.44,224,142,64.7,7,5,22,3,8.8,6,4,1,1,20.0,add600ae,1,7,2,71.2,0.31,-9.8,-0.29,157,418,37.6,988,156,31.0,32.4,271,41.3,39.6,558,36,6.5,47,1.38,15.3,Bundesliga
vs Eint Frankfurt,2,34,3060,58,1.71,138,82,62.3,10,11,13,5,14.7,6,6,0,0,0.0,f0ac8ee6,2,6,2,47.4,0.3,-8.6,-0.25,202,493,41.0,1198,164,32.0,32.0,255,43.1,39.4,466,35,7.5,54,1.59,15.8,Bundesliga
vs Freiburg,1,34,3060,51,1.5,175,123,74.9,9,8,17,7,20.6,8,7,1,0,12.5,a486e511,3,10,0,50.9,0.25,-0.1,0.0,193,496,38.9,1284,168,29.5,30.6,218,53.7,43.2,432,27,6.3,53,1.56,16.9,Bundesliga
vs Hertha BSC,2,34,3060,42,1.24,128,86,72.7,19,8,7,8,23.5,7,7,0,0,0.0,2818f8bc,0,2,0,38.5,0.25,-3.5,-0.1,175,480,36.5,1094,158,32.5,32.6,253,49.0,42.0,405,20,4.9,50,1.47,16.1,Bundesliga
vs Hoffenheim,1,34,3060,48,1.41,138,91,70.3,18,6,10,7,20.6,9,7,1,1,12.5,033ea6b8,1,3,2,47.5,0.29,1.5,0.04,239,592,40.4,1156,133,38.4,34.8,231,64.1,49.3,450,19,4.2,56,1.65,18.5,Bundesliga
vs Köln,1,34,3060,49,1.44,150,104,70.0,12,12,10,13,38.2,4,4,0,0,0.0,bc357bf7,0,4,3,47.2,0.3,1.2,0.04,202,502,40.2,1315,149,29.8,32.3,250,44.0,39.8,604,38,6.3,56,1.65,16.6,Bundesliga
vs Leverkusen,2,34,3060,57,1.68,166,108,68.7,12,8,14,9,26.5,7,5,1,1,16.7,c7a9f859,2,4,0,51.5,0.28,-5.5,-0.16,234,526,44.5,1151,141,36.3,33.1,206,52.4,43.2,375,24,6.4,41,1.21,17.0,Bundesliga
